model,threshold,tn,fp,fn,tp,recall,f2,precision,f1,f05,fn_rate,fp_rate,business_value,positive_rate,score_type
HistGradientBoosting,0.69,17494,46,1926,534,0.21707317073170732,0.2562380038387716,0.9206896551724137,0.3513157894736842,0.5585774058577406,0.7829268292682927,0.002622576966932725,1293600,0.029,predict_proba
HistGradientBoosting,0.7,17498,42,1929,531,0.21585365853658536,0.2549697493517718,0.9267015706806283,0.35014836795252224,0.5587121212121212,0.7841463414634147,0.002394526795895097,1289700,0.02865,predict_proba
HistGradientBoosting,0.71,17501,39,1938,522,0.2121951219512195,0.25093740986443613,0.93048128342246,0.3455809334657398,0.5548469387755102,0.7878048780487805,0.0022234891676168756,1269900,0.02805,predict_proba
HistGradientBoosting,0.72,17504,36,1945,515,0.20934959349593496,0.2478106053315369,0.9346642468239564,0.34207904350714047,0.5521012006861064,0.790650406504065,0.0020524515393386543,1255100,0.02755,predict_proba
HistGradientBoosting,0.73,17507,33,1951,509,0.20691056910569106,0.24513581198227702,0.9391143911439115,0.3391072618254497,0.549913569576491,0.7930894308943089,0.0018814139110604332,1242800,0.0271,predict_proba
HistGradientBoosting,0.74,17509,31,1957,503,0.20447154471544715,0.24243300559090034,0.9419475655430711,0.3360053440213761,0.5472149695387293,0.7955284552845528,0.0017673888255416192,1229600,0.0267,predict_proba
HistGradientBoosting,0.75,17513,27,1966,494,0.2008130081300813,0.2383939774153074,0.9481765834932822,0.33143240523314327,0.5435739436619719,0.7991869918699187,0.0015393386545039908,1210700,0.02605,predict_proba
HistGradientBoosting,0.76,17517,23,1974,486,0.1975609756097561,0.23480529519760363,0.9548133595284872,0.32738295722465477,0.5404804270462633,0.802439024390244,0.0013112884834663625,1194300,0.02545,predict_proba
HistGradientBoosting,0.77,17522,18,1987,473,0.19227642276422766,0.2289226599554738,0.9633401221995926,0.3205692985428668,0.5345840867992767,0.8077235772357724,0.0010262257696693272,1166300,0.02455,predict_proba
HistGradientBoosting,0.78,17523,17,1997,463,0.18821138211382113,0.2243217054263566,0.9645833333333333,0.3149659863945578,0.5285388127853882,0.8117886178861788,0.0009692132269099202,1142200,0.024,predict_proba
HistGradientBoosting,0.79,17524,16,2013,447,0.18170731707317073,0.21692710860914297,0.9654427645788337,0.3058501539514198,0.5183209647495362,0.8182926829268292,0.0009122006841505131,1103100,0.02315,predict_proba
HistGradientBoosting,0.8,17526,14,2029,431,0.17520325203252032,0.20952843947496355,0.9685393258426966,0.2967297762478485,0.5082547169811321,0.8247967479674797,0.0007981755986316989,1064900,0.02225,predict_proba
HistGradientBoosting,0.81,17528,12,2046,414,0.16829268292682928,0.2016364699006429,0.971830985915493,0.2869022869022869,0.49711815561959655,0.8317073170731707,0.0006841505131128849,1024200,0.0213,predict_proba
HistGradientBoosting,0.82,17528,12,2067,393,0.1597560975609756,0.191800878477306,0.9703703703703703,0.2743455497382199,0.48161764705882354,0.8402439024390244,0.0006841505131128849,971700,0.02025,predict_proba
HistGradientBoosting,0.83,17529,11,2080,380,0.15447154471544716,0.18571009676473463,0.9718670076726342,0.26657313223430373,0.4721669980119284,0.8455284552845529,0.0006271379703534777,940100,0.01955,predict_proba
HistGradientBoosting,0.84,17532,8,2108,352,0.14308943089430895,0.17254901960784313,0.9777777777777777,0.24964539007092199,0.4512820512820513,0.8569105691056911,0.00045610034207525655,872800,0.018,predict_proba
