threshold,tn,fp,fn,tp,tn_value,fp_value,fn_value,tp_value,business_value,avg_value_per_vehicle,recall,f2,precision,f1,f05,positive_rate,fn_rate,fp_rate,predicted_bad_buy,predicted_good_buy,roc_auc,average_precision
0.26,3484,9318,124,1671,0,-8386200,0,4177500,-4208700,-288.3263684318696,0.9309192200557103,0.4598491936815455,0.15206115206115206,0.26142052565707136,0.1826189591484339,0.7528259231348907,0.0690807799442897,0.7278550226527105,10989,3608,0.7677792771759635,0.4431968904841776
0.25,3228,9574,106,1689,0,-8616600,0,4222500,-4394100,-301.0276084126875,0.9409470752089136,0.45789730521064903,0.1499600461688715,0.2586919895849288,0.18026767989412343,0.7715969034733164,0.05905292479108635,0.7478518981409155,11263,3334,0.7677792771759635,0.4431968904841776
0.24,2965,9837,90,1705,0,-8853300,0,4262500,-4590800,-314.5029800643968,0.9498607242339833,0.45534665099882493,0.1477213654479293,0.2556796880857764,0.17774117548943977,0.7907104199493047,0.05013927576601671,0.7683955631932511,11542,3055,0.7677792771759635,0.4431968904841776
0.23,2739,10063,85,1710,0,-9056700,0,4275000,-4781700,-327.5810097965335,0.9526462395543176,0.45111591832427583,0.1452476004416886,0.252063679245283,0.1748931208705791,0.8065355895046927,0.04735376044568245,0.786049054835182,11773,2824,0.7677792771759635,0.4431968904841776
0.22,2514,10288,76,1719,0,-9259200,0,4297500,-4961700,-339.912310748784,0.9576601671309192,0.4479595559493407,0.1431664862163738,0.24909433415447035,0.17251068783493567,0.8225662807426184,0.04233983286908078,0.8036244336822371,12007,2590,0.7677792771759635,0.4431968904841776
0.21,2289,10513,59,1736,0,-9461700,0,4340000,-5121700,-350.8734671507844,0.9671309192200557,0.4467548509959339,0.14172585517185077,0.24722301338649957,0.17089641865684865,0.839145029800644,0.03286908077994429,0.8211998125292923,12249,2348,0.7677792771759635,0.4431968904841776
0.2,2099,10703,54,1741,0,-9632700,0,4352500,-5280200,-361.73186271151604,0.96991643454039,0.4435894822666123,0.1399067823850852,0.24453964463796615,0.1687964165907196,0.852503939165582,0.030083565459610027,0.8360412435556944,12444,2153,0.7677792771759635,0.4431968904841776
0.19,1899,10903,46,1749,0,-9812700,0,4372500,-5440200,-372.69301911351647,0.9743732590529248,0.44095401371520776,0.1382390135946886,0.2421263930227729,0.16687975879243555,0.8667534424881825,0.02562674094707521,0.8516638025308546,12652,1945,0.7677792771759635,0.4431968904841776
0.18,1716,11086,38,1757,0,-9977400,0,4392500,-5584900,-382.6060149345756,0.9788300835654596,0.43874544274084804,0.13680604220197773,0.24006011750239103,0.16523407376756258,0.8798383229430705,0.02116991643454039,0.865958443993126,12843,1754,0.7677792771759635,0.4431968904841776
0.17,1542,11260,30,1765,0,-10134000,0,4412500,-5721500,-391.9641022127835,0.9832869080779945,0.4367730759712942,0.13550863723608444,0.23819163292847503,0.16374431765469896,0.892306638350346,0.016713091922005572,0.8795500703015154,13025,1572,0.7677792771759635,0.4431968904841776
0.16,1373,11429,25,1770,0,-10286100,0,4425000,-5861100,-401.5277111735288,0.9860724233983287,0.4342705726483144,0.13410106826274718,0.23609443777511005,0.1621146342803759,0.9042268959375214,0.013927576601671309,0.8927511326355257,13199,1398,0.7677792771759635,0.4431968904841776
0.15,1196,11606,22,1773,0,-10445400,0,4432500,-6012900,-411.9271083099267,0.9877437325905293,0.4311980154676784,0.13252111518050677,0.23368920521945433,0.16027553289580734,0.9165581968897719,0.012256267409470752,0.9065770973285424,13379,1218,0.7677792771759635,0.4431968904841776
0.14,1001,11801,17,1778,0,-10620900,0,4445000,-6175900,-423.09378639446464,0.9905292479108635,0.42824798882412446,0.1309374769865233,0.231299596721738,0.15843595729892535,0.9302596423922724,0.00947075208913649,0.9218090923293235,13579,1018,0.7677792771759635,0.4431968904841776
0.13,853,11949,12,1783,0,-10754100,0,4457500,-6296600,-431.3626087552237,0.9933147632311977,0.4263102524866106,0.12984270317506555,0.22966445546467443,0.15716728663857693,0.9407412482016853,0.006685236768802228,0.933369785970942,13732,865,0.7677792771759635,0.4431968904841776
0.12,713,12089,10,1785,0,-10880100,0,4462500,-6417600,-439.6519832842365,0.9944289693593314,0.42390994585351954,0.12865792129162462,0.22783840704575914,0.15578363093679637,0.9504692745084606,0.005571030640668524,0.9443055772535541,13874,723,0.7677792771759635,0.4431968904841776
0.11,567,12235,10,1785,0,-11011500,0,4462500,-6549000,-448.65383297937933,0.9944289693593314,0.4209905660377358,0.12731811697574894,0.22573506165033197,0.15421166306695464,0.960471329725286,0.005571030640668524,0.955710045305421,14020,577,0.7677792771759635,0.4431968904841776
0.1,446,12356,5,1790,0,-11120400,0,4475000,-6645400,-455.25792971158455,0.9972144846796658,0.4196755134577511,0.12653753711296478,0.22457813186123832,0.1533085527330033,0.9691032403918614,0.002785515320334262,0.9651616934853929,14146,451,0.7677792771759635,0.4431968904841776
0.09,324,12478,5,1790,0,-11230200,0,4475000,-6755200,-462.7800232924574,0.9972144846796658,0.41728832525177173,0.1254555649004766,0.22287243976841187,0.15203764418095028,0.9774611221483867,0.002785515320334262,0.9746914544602406,14268,329,0.7677792771759635,0.4431968904841776
0.08,211,12591,2,1793,0,-11331900,0,4482500,-6849400,-469.2334041241351,0.9988857938718663,0.41573919495455386,0.12465239154616241,0.22164534272822795,0.15110144780974533,0.9854079605398369,0.0011142061281337048,0.9835182002812061,14384,213,0.7677792771759635,0.4431968904841776
0.07,129,12673,0,1795,0,-11405700,0,4487500,-6918200,-473.9467013769953,1.0,0.4145879526977088,0.12406690627591926,0.2207464797392855,0.15041815408852466,0.9911625676508872,0.0,0.9899234494610217,14468,129,0.7677792771759635,0.4431968904841776
0.06,85,12717,0,1795,0,-11445300,0,4487500,-6957800,-476.6595875864904,1.0,0.4137470035035958,0.12369073869900772,0.22015085546084504,0.14997576993132028,0.9941768856614372,0.0,0.993360412435557,14512,85,0.7677792771759635,0.4431968904841776
0.05,52,12750,0,1795,0,-11475000,0,4487500,-6987500,-478.6942522436117,1.0,0.4131185270425777,0.12341010656583018,0.2197062423500612,0.149645685702376,0.9964376241693499,0.0,0.9959381346664584,14545,52,0.7677792771759635,0.4431968904841776
0.04,27,12775,0,1795,0,-11497500,0,4487500,-7010000,-480.23566486264303,1.0,0.4126436781609195,0.12319835277968429,0.21937060800488847,0.14939658759883478,0.9981503048571624,0.0,0.9978909545383534,14570,27,0.7677792771759635,0.4431968904841776
